id,name,birth_date,age,height_cm,weight_kgs,nationality
158023,L. Messi,6/24/1987,31,170.18,72.1,Argentina
20801,Cristiano Ronaldo,2/5/1985,34,187.96,83,Portugal
190871,Neymar Jr,2/5/1992,27,175.26,68,Brazil
176580,L. Suárez,1/24/1987,32,182.88,86.2,Uruguay
177003,L. Modrić,9/9/1985,33,172.72,66.2,Croatia
183277,E. Hazard,1/7/1991,28,172.72,76.2,Belgium
192985,K. De Bruyne,6/28/1991,27,154.94,69.9,Belgium
193080,De Gea,11/7/1990,28,193.04,76.2,Spain
138956,G. Chiellini,8/14/1984,34,187.96,84.8,Italy
155862,Sergio Ramos,3/30/1986,32,182.88,82.1,Spain
